,0,1,2,3,4,5,6,7,8,9
0,0.0,10.868,41.445,48.809,89.3,99.291,112.158,30.577,119.649,60.764
1,17.121,0.0,21.234,53.332,79.519,103.814,96.728,46.831,124.172,65.288
2,36.5,38.709,0.0,51.326,60.512,91.438,104.306,66.211,115.923,83.879
3,35.08,37.288,49.861,0.0,66.775,50.922,63.789,64.79,72.782,46.101
4,86.631,88.84,61.374,67.023,0.0,58.294,56.844,116.342,86.547,110.47
5,81.18,83.388,76.866,35.52,40.759,0.0,36.941,110.89,84.955,79.341
6,109.933,112.142,105.62,64.274,57.291,31.057,0.0,139.644,36.835,108.095
7,33.655,38.323,68.899,76.263,116.754,126.745,139.613,0.0,147.103,88.219
8,117.964,120.173,116.792,74.534,88.405,60.415,37.212,147.675,0.0,116.126
9,58.995,61.203,85.54,48.816,114.762,99.298,122.828,88.705,119.656,0.0
